sentiment,tweet_id
pos,180001
neu,180002
pos,180003
pos,180004
pos,180005
neg,180006
pos,180007
neg,180008
neu,180009
pos,180010
pos,180011
pos,180012
pos,180013
neu,180014
pos,180015
pos,180016
neg,180017
neg,180018
pos,180019
pos,180020
neg,180021
pos,180022
neu,180023
neg,180024
neu,180025
pos,180026
pos,180027
neg,180028
neg,180029
pos,180030
neu,180031
neu,180033
pos,180034
neu,180035
neu,180036
pos,180037
neg,180038
neu,180039
pos,180040
pos,180041
pos,180042
neu,180043
neu,180044
neg,180045
pos,180046
neu,180047
pos,180048
pos,180049
neg,180050
neg,180051
pos,180052
neg,180053
neg,180054
neu,180055
pos,180056
pos,180057
neg,180058
neg,180059
neg,180060
pos,180061
neg,180062
neu,180063
neg,180064
neg,180065
pos,180066
neu,180067
neg,180068
neu,180069
pos,180070
pos,180071
neu,180072
pos,180073
pos,180074
neu,180075
neu,180076
neg,180077
neu,180078
pos,180079
neu,180080
neu,180081
neu,180082
pos,180083
pos,180084
pos,180085
neg,180086
neu,180087
neg,180088
neu,180089
pos,180090
pos,180091
neu,180092
pos,180093
pos,180094
neu,180095
neu,180096
neu,180097
neu,180098
pos,180099
pos,180100
pos,180101
pos,180102
neg,180103
pos,180104
neg,180105
pos,180106
neg,180107
pos,180108
neg,180109
neg,180110
neg,180111
neg,180112
pos,180113
pos,180114
neg,180115
neu,180116
neg,180117
pos,180118
pos,180119
neg,180120
neg,180121
pos,180122
pos,180123
neg,180124
pos,180125
pos,180126
neu,180127
neu,180128
neg,180129
neg,180130
pos,180131
pos,180132
neu,180133
neg,180134
pos,180135
neg,180136
neg,180137
pos,180138
neu,180139
neg,180140
pos,180141
pos,180142
neu,180143
neu,180144
neg,180145
neg,180146
pos,180147
pos,180148
neg,180149
neg,180150
neg,180151
neg,180152
neu,180153
neg,180154
pos,180155
neg,180156
pos,180157
pos,180158
neg,180159
pos,180160
pos,180161
pos,180162
neg,180163
neg,180164
pos,180165
pos,180166
neg,180167
neg,180168
neg,180169
neg,180170
neg,180171
pos,180172
neg,180173
pos,180174
pos,180175
pos,180176
pos,180177
neg,180178
neg,180179
pos,180180
neu,180181
neu,180182
pos,180183
neg,180184
neg,180185
neg,180186
pos,180187
pos,180188
pos,180189
neg,180190
pos,180191
neu,180192
pos,180193
pos,180194
neg,180195
pos,180196
pos,180197
neu,180198
neg,180199
neg,180200
pos,180201
neu,180202
neg,180203
pos,180204
neg,180205
pos,180207
neg,180208
pos,180209
neg,180210
neg,180211
pos,180212
neg,180213
pos,180214
neg,180215
neg,180216
pos,180217
pos,180218
pos,180219
neg,180220
neu,180221
neg,180222
neg,180223
neu,180224
pos,180225
neg,180226
neg,180227
neg,180228
neg,180229
neu,180230
neg,180231
neg,180232
neg,180233
neu,180234
pos,180235
